log_date,course_key,section_number,time_logged
05/05/2022,1,1,14
05/05/2022,1,2,21
05/05/2022,1,3,35
05/07/2022,1,4,27
05/07/2022,1,5,43
05/07/2022,1,6,36
05/07/2022,1,7,10
05/08/2022,1,8,3
05/08/2022,1,9,72
05/08/2022,1,10,13
05/09/2022,1,11,10
05/09/2022,1,12,9
05/09/2022,1,13,20
05/09/2022,1,14,78
05/09/2022,1,15,17
05/09/2022,1,16,8
05/09/2022,1,17,7
05/09/2022,1,18,49
05/09/2022,1,19,45
05/11/2022,2,1,20
05/12/2022,2,2,51
05/13/22,2,3,47
05/13/22,2,4,61
05/13/22,2,5,101
05/13/22,2,6,67
05/13/22,2,7,38
05/13/22,2,8,68
05/13/22,2,9,55
05/13/22,2,10,14
05/14/22,1,20,16
05/14/22,1,21,27
05/14/22,1,22,14
05/14/22,1,23,11
05/14/22,1,24,9
05/14/22,1,25,6
05/14/22,1,26,1
05/14/22,1,27,1
05/16/22,4,1,23
05/17/22,4,2,281
05/17/22,4,4,4
05/19/22,4,3,273
05/19/22,4,5,124
05/19/22,4,6,56
05/20/22,4,7,234
05/21/22,4,8,187
05/22/22,4,9,334
05/22/22,4,10,157
05/23/22,4,11,368
05/23/22,5,1,6
05/23/22,5,2,43
05/23/22,5,3,39
05/23/22,5,4,26
05/23/22,5,5,32
05/23/22,5,6,1
05/31/22,4,12,195
06/02/2022,4,13,318
06/08/2022,4,14,250
06/08/2022,4,20,4
06/08/2022,4,21,1
07/17/22,4,15,132
07/18/22,4,15,107
08/11/2022,4,16,301
08/12/2022,4,17,230
08/12/2022,4,18,74
08/13/22,4,18,158
08/14/22,4,18,272
08/14/22,4,19,59
08/15/22,3,1,10
08/15/22,3,2,23
08/15/22,3,3,145
08/15/22,3,4,96
08/16/22,3,5,54
08/21/22,3,5,133
08/22/22,3,6,40
08/23/22,3,6,45
08/25/22,3,6,67
08/25/22,3,7,42
08/25/22,3,8,9
08/25/22,3,9,2
08/26/22,10,1,13
08/26/22,10,2,29
08/26/22,10,3,16
08/26/22,10,4,20
08/26/22,10,5,12
08/26/22,10,6,13
09/07/2022,36,1,21
09/07/2022,36,2,27
09/07/2022,36,3,16
09/07/2022,36,4,60
09/07/2022,36,5,53
09/07/2022,36,6,35
09/07/2022,36,7,7
10/07/2022,37,1,20
10/07/2022,37,2,23
10/09/2022,37,3,66
10/09/2022,37,4,25
10/09/2022,37,5,4
10/11/2022,38,1,10
10/11/2022,38,2,47
10/11/2022,38,3,22
10/11/2022,38,4,29
10/11/2022,38,5,25
10/11/2022,38,6,12
10/11/2022,38,7,3
